layer_number,head_index,corrupt_accuracy,corrupt_fairness
0,0,0.74,0.796484444409469
0,1,0.74,0.8627244574125876
0,2,0.75,0.9368175925006041
0,3,0.74,0.9906286821981638
0,4,0.75,0.8518240128214499
0,5,0.75,0.7648022887057744
0,6,0.76,0.9659187692434943
0,7,0.72,0.9788058868991627
0,8,0.72,0.9041056979171729
0,9,0.77,0.9953795410960112
0,10,0.67,0.8777313261489827
0,11,0.7,0.9174812621196083
1,0,0.78,0.7300203230663174
1,1,0.82,0.6878857690367234
1,2,0.76,0.9819745483957141
1,3,0.8,0.5988102915825474
1,4,0.79,0.7429385344684405
1,5,0.64,0.8502928478579302
1,6,0.77,0.7063988276683605
1,7,0.74,0.8125333586095533
1,8,0.8,0.6143585364963301
1,9,0.8,0.618719743043185
1,10,0.75,0.5505019905830849
1,11,0.82,0.5530233047277645
2,0,0.71,0.99550430518933
2,1,0.82,0.7443640346217345
2,2,0.76,0.6942364928227781
2,3,0.82,0.6690247134988959
2,4,0.78,0.5432065419517068
2,5,0.8,0.7461373087861931
2,6,0.77,0.7253311090224729
2,7,0.8,0.7802201152478547
2,8,0.74,0.7604581589659962
2,9,0.75,0.8173189902828064
2,10,0.79,0.6165731132194255
2,11,0.83,0.9021184809324768
3,0,0.75,0.7408538779056449
3,1,0.8,0.842659363116921
3,2,0.77,0.7952036403813673
3,3,0.79,0.6660084571950723
3,4,0.77,0.7647723041992835
3,5,0.83,0.5910574463297242
3,6,0.77,0.773994597594925
3,7,0.81,0.7074783703648841
3,8,0.83,0.6800143375468591
3,9,0.8,0.6966736166017576
3,10,0.79,0.6619385365219459
3,11,0.78,0.6904159481297837
4,0,0.81,0.6911155953605027
4,1,0.81,0.8889761016823451
4,2,0.78,0.6663250288456893
4,3,0.78,0.7501187173781764
4,4,0.8,0.739842167956615
4,5,0.78,0.7946789145042409
4,6,0.83,0.8354249422349114
4,7,0.74,0.7215763220269767
4,8,0.78,0.7527543710832423
4,9,0.79,0.8240083245895182
4,10,0.8,0.659183695259668
4,11,0.82,0.6466659151471094
5,0,0.79,0.7414659395831884
5,1,0.75,0.7706999601193258
5,2,0.8,0.7954811308790927
5,3,0.72,0.9899835784444254
5,4,0.78,0.7545710744673602
5,5,0.8,0.8871891011256103
5,6,0.78,0.7403589886432881
5,7,0.74,0.8689138308785762
5,8,0.68,0.9987689614904597
5,9,0.76,0.779815434092243
5,10,0.72,0.7605300217959925
5,11,0.81,0.7540027488433393
6,0,0.76,0.8617495229055235
6,1,0.77,0.8090947850026466
6,2,0.76,0.7814983652694255
6,3,0.81,0.8793456117271375
6,4,0.81,0.8110306594637402
6,5,0.79,0.7482884601857724
6,6,0.78,0.8177375335269509
6,7,0.82,0.8379074326003247
6,8,0.79,0.8324713747180187
6,9,0.83,0.9576055810937256
6,10,0.69,0.9979645692594586
6,11,0.77,0.7353211093920524
7,0,0.76,0.7356277661934552
7,1,0.79,0.8482056978759787
7,2,0.75,0.870958230421557
7,3,0.76,0.7237726612463193
7,4,0.74,0.8605234746329098
7,5,0.79,0.8288017192454408
7,6,0.79,0.7360521129058178
7,7,0.69,0.9242691690053958
7,8,0.74,0.9390207342167862
7,9,0.81,0.7424025311531989
7,10,0.78,0.872996905617487
7,11,0.78,0.8566375557527137
8,0,0.74,0.8330664520559342
8,1,0.8,0.7971220961708151
8,2,0.56,0.9961435698677696
8,3,0.78,0.7056255756314481
8,4,0.8,0.7932205567797891
8,5,0.5,0.9891366286167153
8,6,0.78,0.8206786356679974
8,7,0.75,0.8151771877149162
8,8,0.72,0.8092742709099667
8,9,0.75,0.7898098880102635
8,10,0.8,0.8027617307664613
8,11,0.76,0.7783331952006278
9,0,0.54,0.997363257000385
9,1,0.39,0.9875313973642305
9,2,0.77,0.953261170089002
9,3,0.77,0.9518194108822081
9,4,0.52,0.964695006344561
9,5,0.52,0.9974820689570215
9,6,0.75,0.8788845130655706
9,7,0.56,0.99192242594109
9,8,0.4,0.9798143766083762
9,9,0.68,0.9365056084861753
9,10,0.41,0.9955612431111138
9,11,0.75,0.8669274822942196
10,0,0.72,0.9906379985764774
10,1,0.54,0.926070354117857
10,2,0.38,0.9934203115696555
10,3,0.38,0.9722160596395413
10,4,0.5,0.9278574667712325
10,5,0.55,0.9920712953820107
10,6,0.39,0.992635330285856
10,7,0.62,0.9424227437262456
10,8,0.49,0.9773880897249269
10,9,0.54,0.9946316584022606
10,10,0.62,0.9942902943597326
10,11,0.48,0.9955161275858274
11,0,0.68,0.987383816367322
11,1,0.71,0.9906328025937263
11,2,0.59,0.9866963481431416
11,3,0.75,0.9884066193342045
11,4,0.69,0.9657849601938601
11,5,0.65,0.9999338550617242
11,6,0.68,0.9746678580307127
11,7,0.7,0.9904919974609842
11,8,0.75,0.9972893060495015
11,9,0.47,0.9562445080603919
11,10,0.54,0.983851968981225
11,11,0.38,0.9691968730156857
