layer_number,head_index,corrupt_accuracy,corrupt_fairness
0,0,0.74,0.9121636960300369
0,1,0.65,0.9598356062603345
0,2,0.77,0.989096729504519
0,3,0.73,0.9944103966752018
0,4,0.7,0.9544289866684013
0,5,0.79,0.8842259748800839
0,6,0.73,0.9981987955479736
0,7,0.8,0.9922485263147368
0,8,0.75,0.9687534760406789
0,9,0.75,0.9989378503905043
0,10,0.58,0.9603811060348244
0,11,0.68,0.9837196612396389
1,0,0.77,0.883179533348976
1,1,0.79,0.8040338406158655
1,2,0.72,0.996421875582842
1,3,0.77,0.721262573836471
1,4,0.76,0.863514100606224
1,5,0.55,0.9562529650724042
1,6,0.74,0.8656273310789458
1,7,0.64,0.9192151020415998
1,8,0.76,0.7141226009753319
1,9,0.83,0.7232929746463805
1,10,0.77,0.6604950730570674
1,11,0.78,0.6449681659205
2,0,0.74,0.9985927739560908
2,1,0.72,0.9244613042438772
2,2,0.69,0.8041826812097221
2,3,0.79,0.8892521328227462
2,4,0.82,0.6327631708948056
2,5,0.75,0.8782708043908309
2,6,0.72,0.8761201918611753
2,7,0.77,0.9207816576780413
2,8,0.73,0.9001906489273152
2,9,0.72,0.9409288701268992
2,10,0.77,0.7653907137116946
2,11,0.8,0.9747867502013959
3,0,0.72,0.9026166613300212
3,1,0.71,0.9478792577936176
3,2,0.77,0.9397731180325786
3,3,0.79,0.8333502359152143
3,4,0.77,0.8951436137759167
3,5,0.79,0.7543644773581222
3,6,0.78,0.9365413792693814
3,7,0.73,0.8548681472635596
3,8,0.79,0.8255613357352753
3,9,0.78,0.8230010393125291
3,10,0.72,0.8422365984536266
3,11,0.72,0.8547444016443922
4,0,0.75,0.8369556483770749
4,1,0.81,0.9818152632246825
4,2,0.75,0.8401607486763565
4,3,0.79,0.9265510583553902
4,4,0.74,0.9214563302305756
4,5,0.78,0.9249331269422068
4,6,0.74,0.9404422947703258
4,7,0.74,0.8724297939460521
4,8,0.72,0.8890691099928432
4,9,0.75,0.9513175650857988
4,10,0.79,0.8277786143115007
4,11,0.8,0.8095507398434247
5,0,0.76,0.8896052260380917
5,1,0.79,0.9335950410214892
5,2,0.78,0.9314096426228685
5,3,0.75,0.9988248088720063
5,4,0.72,0.8800089846022595
5,5,0.75,0.9685889457256894
5,6,0.79,0.9104149551174724
5,7,0.7,0.9617956354822242
5,8,0.71,0.9991517176899254
5,9,0.71,0.9026590874042342
5,10,0.7,0.91121204705759
5,11,0.72,0.9043587700039515
6,0,0.76,0.9648636474262096
6,1,0.76,0.9235661863968662
6,2,0.79,0.9233953436019434
6,3,0.81,0.9616197046679551
6,4,0.81,0.9398001657442207
6,5,0.79,0.9138278295212274
6,6,0.75,0.9316274752968942
6,7,0.82,0.94674110917644
6,8,0.7,0.9484495529149208
6,9,0.75,0.987450088144863
6,10,0.74,0.9982838746452591
6,11,0.73,0.8793954171730866
7,0,0.74,0.8746432241876645
7,1,0.72,0.9466997582510479
7,2,0.76,0.9730331262070359
7,3,0.75,0.8865296162625657
7,4,0.72,0.9641344929388411
7,5,0.63,0.9541333777617104
7,6,0.74,0.8833496016182886
7,7,0.44,0.9701857796406982
7,8,0.72,0.9838365466282357
7,9,0.78,0.8756786397301941
7,10,0.55,0.9532872782245936
7,11,0.78,0.956052011208349
8,0,0.73,0.9333744765950004
8,1,0.79,0.9157467564899705
8,2,0.76,0.9981862067615721
8,3,0.79,0.8643882054087271
8,4,0.77,0.9067895400183345
8,5,0.43,0.9907587266208584
8,6,0.79,0.9150991803340973
8,7,0.72,0.9218440559242498
8,8,0.71,0.9086992446026654
8,9,0.73,0.9124495968715981
8,10,0.8,0.9398338124849059
8,11,0.78,0.8964597472172292
9,0,0.39,0.9978245252674172
9,1,0.39,0.9790017559169992
9,2,0.77,0.9920411595253125
9,3,0.69,0.9845205058184943
9,4,0.38,0.9666714832637123
9,5,0.57,0.9974800425288026
9,6,0.64,0.9805456917436871
9,7,0.39,0.995028888217296
9,8,0.52,0.9968123665571368
9,9,0.52,0.9805260609719861
9,10,0.39,0.9926635103548029
9,11,0.6,0.9730279627709428
10,0,0.65,0.991630673815948
10,1,0.73,0.9945951740356261
10,2,0.38,0.9929340229091098
10,3,0.38,0.9767184821694804
10,4,0.39,0.9715676996394561
10,5,0.39,0.9962177625948426
10,6,0.39,0.9927548770098628
10,7,0.38,0.9824943272627022
10,8,0.39,0.9919412643875604
10,9,0.47,0.9889592100022429
10,10,0.42,0.9937354295756443
10,11,0.39,0.9947725280324754
11,0,0.63,0.9927545188797344
11,1,0.58,0.9950417340783239
11,2,0.45,0.991322659434987
11,3,0.57,0.9949938256571688
11,4,0.68,0.9675984248372173
11,5,0.51,0.9999697707257422
11,6,0.68,0.9837823336296775
11,7,0.44,0.993591830060279
11,8,0.55,0.9988545079893695
11,9,0.39,0.9496669796459282
11,10,0.39,0.983850225136268
11,11,0.38,0.9732479064601994
